Feature,camem_bert_base_embeddings,distilled_bert_base_cased,flaubert_base_cased,flaubert_base_uncased,flaubert_large_uncased,flaubert_small_cased,mbert_base_cased,mbert_base_uncased,xlmr_r_large,xlm_roberta_base,Mean Importance
Dim 515,0.02350454788657048,0.02953908984830808,0.027913857677902762,0.004657282741738163,0.0010149812734082293,,0.05642357059509929,0.0046818862275448715,0.007702879581151786,0.00118455497382199,0.01740251675617174
Dim 520,0.0320545746388444,0.02596266044340726,0.01689513108614247,0.0162821297429622,0.006310861423221081,,0.021954492415402642,0.018319610778443126,0.016138743455497404,0.002277486910994759,0.017355076766101703
Dim 359,0.015358480470840043,0.0048483080513418665,0.04432771535580544,0.011744186046511755,0.011516853932584333,0.02500561797752826,0.01389148191365228,0.01136976047904199,0.03114528795811521,0.004044502617801029,0.017325219480322222
Dim 959,,,,,0.0023183520599250637,,,,0.03229712041884818,,0.01730773623938662
Dim 279,0.006824505082932116,0.028739789964994204,0.014477528089887719,0.012313341493268232,0.008445692883895174,0.01790636704119867,0.050793465577596376,0.016912425149700618,0.015346858638743459,0.0009227748691099482,0.01726827487913265
Dim 752,0.006163723916532945,0.0313827304550759,0.02883520599250948,0.04624694002447968,0.023134831460674306,,0.016429404900816846,0.0010928143712574817,0.0009489528795811517,0.0007460732984293198,0.017220075255484125
Dim 374,0.007643124665596646,0.016884480746791185,0.008142322097378332,0.04087209302325594,0.02251310861423245,0.0016853932584269466,0.001295215869311551,0.06774326347305401,0.00501963350785338,0.0003206806282722513,0.01721193158841727
Dim 165,0.03292669876939553,0.009439906651108458,0.029483146067415863,0.008369033047735668,0.021102996254681775,0.03397565543071183,0.004585764294048982,0.014389970059880299,0.014568062827225146,0.0030759162303664847,0.017191714963257002
Dim 712,0.018338683788122066,0.023523920653442273,0.018382022471910283,0.01314106487148123,0.009956928838951365,,0.038033838973162225,0.007496257485029951,0.024234293193717296,0.0013874345549738224,0.017166049425643388
Dim 233,0.04414927768860375,0.012782963827304554,0.011308988764044986,0.013465422276621961,0.012496254681648016,0.01587453183520612,0.02358226371061846,0.002395209580838307,0.029417539267015732,0.006158376963350755,0.017163082859525263
Dim 222,2.407704654895668e-05,0.02089848308051347,0.011696629213483184,0.006404528763769949,0.016861423220973924,0.0004157303370786508,0.04883897316219375,0.04616017964071871,0.015556282722513115,0.004613874345549714,0.017147018153334338
Dim 257,0.008397538790797326,0.02429988331388568,0.009082397003745371,0.016476438188494667,0.019314606741573204,0.0037247191011236004,0.04698949824970835,0.023873502994012013,0.011740837696335044,0.006878272251308856,0.01707776943309841
Dim 646,0.02237827715355818,0.06102683780630115,0.0022584269662921036,0.0010189718482252023,0.002563670411984984,,0.008768961493582217,0.02816991017964077,0.021910994764397937,0.005451570680628246,0.017060846811623422
Dim 592,0.023499197431781842,0.0005717619603267215,0.014205992509363437,0.013352203182374697,0.004786516853932647,,0.006983663943990621,0.046549401197604916,0.04013089005235607,0.003396596858638724,0.017052913776707743
Dim 269,0.02854735152487974,0.016061843640606796,0.0026741573033707486,0.0013509791921664455,0.0015318352059924913,0.03400749063670426,0.005985997666277679,0.04701347305389237,0.02862565445026179,0.004234293193717257,0.017003307586786958
Dim 230,0.02516586409844851,0.02021003500583437,0.012288389513108663,0.012490820073439608,0.021056179775281004,0.014805243445692983,0.03277712952158696,0.019573353293413177,0.0022513089005235516,0.009253926701570627,0.016987225032889942
Dim 966,,,,,0.022089887640449522,,,,0.011839005235602062,,0.01696444643802579
Dim 605,0.021235955056179916,0.006026837806301009,0.017046816479400918,0.0150168298653613,0.02031835205992523,,0.017456242707117906,0.02979416167664679,0.02083769633507855,0.004594240837696319,0.016925236980411998
Dim 78,0.0184082397003746,0.037561260210035044,0.020052434456929006,0.015966952264382092,0.003039325842696591,0.00334644194756553,0.016581096849474942,0.03999625748503007,0.013985602094240856,0.00015706806282722512,0.016909467891355594
Dim 856,,,,,0.010061797752809049,,,,0.023736910994764406,,0.01689935437378673
